User Story, Task #, Story Points, Dependencies, 1(Fri), 2(Sat), 3(Sun)
U4, T1, 3, U1T8, , , A:1
U4, T2, 1, U4T1, , ,
U4, T3, 1, , , , A:1
U4, T4, 1, U4T3, , ,
U4, T5, 2, U4T3 & U4T4 & U7T1 & U7T2, , ,
U4, T6, 1, U4T5, , ,
U7, T1, 8, , T:2, , T:2
U7, T2, 8, , G:2, ,
U7, T3, 1, U7T1, , ,
U7, T4, 1, U7T2, , ,
